alloy_id,reference_id,TME,Ti,Nb,Mo,Zr,Sn,Ta,DEF,TEMP,TIME
145,32,78.55,83.99,11.94,0,2.43,1.64,0,0,850,1
146,32,77.02,82.61,13.28,0,2.46,1.65,0,0,850,1
147,32,68.76,81.18,14.66,0,2.49,1.67,0,0,850,1
148,32,73.29,79.73,16.06,0,2.52,1.69,0,0,850,1
149,32,75.55,81.62,12.28,0,2.5,3.6,0,0,850,1
150,32,68.82,80.16,13.66,0,2.53,3.65,0,0,850,1
151,32,51.68,78.67,15.08,0,2.56,3.69,0,0,850,1
152,32,53.66,77.15,16.53,0,2.59,3.73,0,0,850,1
153,32,61.07,79.11,12.64,0,2.57,5.68,0,0,850,1
154,32,79.46,76,15.53,0,2.64,5.83,0,0,850,1
155,32,77.71,74.4,17.04,0,2.67,5.89,0,0,850,1
156,32,63.39,80.18,14.91,0,1.26,3.65,0,0,850,1
157,32,61.19,75.54,15.44,0,5.24,3.78,0,0,850,1
158,33,41,73.59,23.14,0,3.27,0,0,87.5,250,0.33
161,35,69,84.11,4.94,7.98,2.97,0,0,0,950,2
162,35,35.4,86.21,3.8,7.98,2.01,0,0,0,950,2
163,35,52,84.04,2.96,7.98,5.02,0,0,0,950,2
164,36,20,76,24,0,0,0,0,95,900,1
165,36,35,74,26,0,0,0,0,95,900,1
166,37,70,96.11,0,3.89,0,0,0,0,0,0
167,37,84,91.91,0,8.09,0,0,0,0,0,0
170,39,107.9,81.91,18.09,0,0,0,0,0,0,0
171,39,77.4,80.7,18.34,0,0,0.96,0,0,0,0
172,39,72.2,79.45,18.61,0,0,1.94,0,0,0,0
173,39,50.4,78.17,18.88,0,0,2.95,0,0,0,0
174,39,79.3,76.84,19.16,0,0,4,0,0,0,0
175,39,100.9,75.48,19.45,0,0,5.07,0,0,0,0
176,40,73.9,81.91,18.09,0,0,0,0,0,1000,1
183,44,89,66.8,23.88,0,6.44,0,2.88,0,600,4
185,45,49.3,74.87,22.5,0,1.97,0,0.66,0,780,0.5
186,46,56.5,74.8,22.5,0,2,0,0.7,0,0,0
187,46,59.1,74.8,22.5,0,2,0,0.7,0,0,0
188,46,65,74.8,22.5,0,2,0,0.7,0,0,0
189,46,60.9,74.8,22.5,0,2,0,0.7,0,0,0
190,46,90.8,74.8,22.5,0,2,0,0.7,0,0,0
204,51,110.47,91.53,0,0,8.47,0,0,0,0,0
212,54,46,89.74,2.89,0,5.89,0,1.48,95,850,0.5
